Employee_ID,Age,Gender,Education,Department,Experience,Working_Hours,Projects_Completed,Performance_Score,Salary,Salary_Category
1001,50,Male,Bachelor,Finance,3,49,7,2.5,37744,Low
1002,36,Male,Master,Finance,4,36,5,3.1,49255,Low
1003,29,Male,Master,Finance,7,32,11,2.7,54175,Low
1004,42,Female,Bachelor,Sales,27,47,13,1.3,103507,High
1005,40,Male,Bachelor,HR,30,56,19,2.7,116352,High
1006,44,Female,Master,Sales,8,39,10,1.4,57489,Low
1007,32,Female,Master,HR,28,36,10,2.6,107020,High
1008,32,Male,PhD,Finance,13,46,11,3.4,78713,Medium
1009,45,Male,Master,Finance,21,43,7,3.3,87919,Medium
1010,57,Female,Bachelor,Sales,10,53,18,3.7,60690,Medium
1011,45,Male,Bachelor,Sales,22,32,4,1.4,78922,Medium
1012,24,Female,Master,HR,0,41,2,3.6,41903,Low
1013,43,Female,Bachelor,Marketing,20,57,14,2.2,85033,Medium
1014,23,Female,Master,HR,25,42,13,2.6,106846,High
1015,45,Female,PhD,Sales,22,31,12,4.4,99356,Medium
1016,51,Female,Master,Sales,0,32,7,1.0,35366,Low
1017,59,Male,Bachelor,IT,14,34,2,3.4,82666,Medium
1018,23,Male,Master,Sales,20,40,13,3.4,90168,Medium
1019,42,Female,Bachelor,IT,8,37,14,2.6,61890,Medium
1020,54,Female,Master,Marketing,8,55,17,1.9,62609,Medium
1021,33,Male,PhD,HR,9,52,9,1.9,53909,Low
1022,43,Male,Bachelor,HR,25,52,17,4.5,110624,High
1023,46,Female,PhD,IT,34,41,8,2.8,122789,High
1024,48,Male,PhD,HR,24,36,2,2.3,93327,Medium
1025,49,Female,Bachelor,Sales,25,44,13,2.8,96017,Medium
1026,37,Male,Bachelor,Finance,10,53,3,3.7,63846,Medium
1027,36,Female,Bachelor,IT,1,46,16,1.6,39200,Low
1028,24,Male,Bachelor,HR,6,33,6,2.8,48145,Low
1029,58,Female,Bachelor,IT,17,58,19,3.4,83346,Medium
1030,28,Male,Master,IT,26,51,7,4.8,118265,High
1031,42,Male,Bachelor,Finance,33,54,10,2.0,122745,High
1032,30,Female,Bachelor,Sales,26,42,9,2.4,101947,High
1033,39,Male,PhD,IT,16,47,2,2.5,88448,Medium
1034,25,Female,Bachelor,HR,23,30,15,3.4,110565,High
1035,46,Male,PhD,Marketing,24,45,5,2.4,99730,Medium
1036,35,Female,Bachelor,IT,6,42,4,3.1,45057,Low
1037,30,Male,Bachelor,IT,5,39,4,4.1,63332,Medium
1038,47,Female,Master,Finance,23,41,18,3.8,91230,Medium
1039,23,Male,Master,Sales,32,59,4,2.8,128580,High
1040,41,Female,PhD,Marketing,28,31,17,4.5,123417,High
1041,49,Male,Master,HR,21,52,12,3.2,104171,High
1042,28,Female,PhD,Marketing,25,32,17,3.2,106601,High
1043,29,Female,Bachelor,HR,27,39,10,1.1,100093,High
1044,56,Female,Bachelor,Sales,20,31,1,4.9,97349,Medium
1045,35,Male,Master,HR,6,59,18,1.5,48268,Low
1046,38,Female,PhD,Finance,16,56,18,1.9,82505,Medium
1047,57,Male,PhD,Finance,19,52,14,1.2,85861,Medium
1048,25,Female,Bachelor,Finance,19,42,15,3.6,92501,Medium
1049,23,Male,Bachelor,Finance,21,42,12,1.9,86489,Medium
1050,27,Female,Master,Marketing,27,47,4,1.7,117446,High
1051,25,Male,Bachelor,Sales,6,32,3,1.4,55161,Low
1052,50,Male,PhD,HR,0,56,12,1.4,27611,Low
1053,39,Female,PhD,HR,31,36,7,3.3,118118,High
1054,47,Male,Bachelor,Finance,12,43,11,3.8,79858,Medium
1055,55,Male,Master,Finance,29,49,1,2.6,108902,High
1056,31,Female,Master,IT,22,58,6,2.9,98357,Medium
1057,57,Male,Bachelor,Sales,18,59,15,3.7,94553,Medium
1058,35,Male,PhD,Marketing,31,46,15,1.1,94957,Medium
1059,52,Male,Master,HR,29,58,19,2.3,111159,High
1060,36,Female,PhD,IT,28,59,11,4.9,119256,High
1061,29,Male,Bachelor,IT,28,50,2,3.3,111139,High
1062,35,Female,PhD,HR,29,41,14,2.0,112008,High
1063,44,Male,Bachelor,Marketing,15,54,2,3.1,83187,Medium
1064,42,Male,Bachelor,IT,18,45,4,2.4,85310,Medium
1065,37,Male,PhD,IT,17,53,17,3.1,83030,Medium
1066,39,Female,Bachelor,Sales,0,41,3,1.5,39163,Low
1067,45,Male,Bachelor,Marketing,13,44,13,1.5,68745,Medium
1068,47,Male,PhD,IT,1,54,9,1.6,37746,Low
1069,46,Female,PhD,Marketing,27,39,7,4.8,110138,High
1070,50,Male,Master,HR,29,59,15,3.9,110286,High
1071,36,Female,Master,Finance,3,54,11,1.6,37243,Low
1072,22,Female,Bachelor,IT,0,36,2,1.8,38591,Low
1073,46,Male,Bachelor,Sales,7,49,15,3.9,62704,Medium
1074,28,Female,Bachelor,HR,28,34,14,1.6,98998,Medium
1075,30,Male,Master,Marketing,2,30,11,1.9,45829,Low
1076,45,Female,Master,HR,31,59,3,4.9,133971,High
1077,22,Female,Master,IT,9,46,17,2.0,57507,Low
1078,29,Male,Master,Marketing,9,32,12,3.6,58195,Low
1079,45,Female,Bachelor,Finance,18,42,15,4.9,91054,Medium
1080,32,Female,Bachelor,HR,33,43,16,2.5,126772,High
1081,38,Female,Bachelor,IT,32,53,5,1.1,117142,High
1082,29,Female,Master,Sales,22,59,6,2.0,88387,Medium
1083,56,Female,Bachelor,Marketing,27,47,19,4.3,122305,High
1084,56,Male,PhD,HR,31,33,5,4.5,132241,High
1085,54,Female,Bachelor,HR,6,47,3,4.1,57734,Low
1086,26,Male,Bachelor,Finance,28,59,1,1.5,102283,High
1087,49,Female,Bachelor,Finance,7,34,6,4.2,61335,Medium
1088,28,Male,Master,Sales,0,54,15,4.7,46263,Low
1089,30,Male,Master,Sales,2,45,2,3.4,53352,Low
1090,29,Female,Bachelor,IT,23,30,3,4.8,108826,High
1091,33,Female,Bachelor,IT,22,50,17,4.3,106585,High
1092,55,Female,Master,Sales,7,43,12,3.7,65667,Medium
1093,54,Male,Bachelor,Sales,2,44,18,3.3,56772,Low
1094,44,Female,PhD,Marketing,32,38,15,2.4,114303,High
1095,45,Male,Master,Finance,27,44,12,1.6,105801,High
1096,58,Male,Bachelor,IT,7,46,16,3.4,50230,Low
1097,56,Male,Bachelor,Finance,33,54,8,2.3,115115,High
1098,43,Female,PhD,Finance,34,53,14,4.5,132625,High
1099,48,Female,Bachelor,Sales,31,33,17,5.0,129591,High
1100,56,Male,Bachelor,Marketing,23,41,8,4.0,102990,High
1101,22,Male,PhD,HR,13,56,15,1.4,65264,Medium
1102,56,Female,PhD,Marketing,31,55,14,2.2,114352,High
1103,58,Male,PhD,Marketing,15,34,18,1.4,79947,Medium
1104,35,Female,Master,Finance,3,58,7,3.6,49979,Low
1105,24,Male,Bachelor,Marketing,20,34,3,4.1,105146,High
1106,22,Female,Bachelor,IT,13,40,12,4.7,85270,Medium
1107,26,Male,Master,Finance,30,57,3,2.8,118487,High
1108,47,Female,Master,IT,17,35,14,4.6,84932,Medium
1109,35,Male,Bachelor,HR,6,36,15,4.5,67676,Medium
1110,48,Female,PhD,Finance,9,53,14,2.3,59231,Low
1111,30,Female,Bachelor,HR,6,43,7,4.5,57027,Low
1112,36,Male,Bachelor,Finance,32,53,17,2.5,122564,High
1113,36,Male,Bachelor,Sales,22,40,12,2.2,86860,Medium
1114,47,Female,Bachelor,Marketing,20,59,4,3.6,90588,Medium
1115,34,Male,Bachelor,Sales,18,42,9,2.3,84149,Medium
1116,53,Female,Bachelor,HR,18,31,6,3.5,100092,High
1117,53,Male,Bachelor,Marketing,28,54,16,3.4,110165,High
1118,25,Female,Master,Finance,17,36,2,3.3,83408,Medium
1119,51,Female,Master,Marketing,1,49,8,2.5,46161,Low
1120,58,Female,Master,IT,0,33,11,3.2,36608,Low
1121,44,Female,PhD,Marketing,4,56,13,3.4,55814,Low
1122,36,Female,Bachelor,IT,19,37,17,3.2,96329,Medium
